Disease,Count_number_of_URLs,URL,Symptoms_and_Causes,Diagnosis_and_Tests,Management_and_Treatment,Prevention,Prognosis,Living_with
22094-boutonnière-deformity,7,https://my.clevelandclinic.org/health/diseases/22094-boutonnière-deformity,https://my.clevelandclinic.org/health/diseases/22094-boutonnière-deformity#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22094-boutonnière-deformity#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22094-boutonnière-deformity#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22094-boutonnière-deformity#prevention,https://my.clevelandclinic.org/health/diseases/22094-boutonnière-deformity#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22094-boutonnière-deformity#living-with
21651-vaginal-boil,7,https://my.clevelandclinic.org/health/diseases/21651-vaginal-boil,https://my.clevelandclinic.org/health/diseases/21651-vaginal-boil#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21651-vaginal-boil#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21651-vaginal-boil#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21651-vaginal-boil#prevention,https://my.clevelandclinic.org/health/diseases/21651-vaginal-boil#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21651-vaginal-boil#living-with
17745-bone-cancer,7,https://my.clevelandclinic.org/health/diseases/17745-bone-cancer,https://my.clevelandclinic.org/health/diseases/17745-bone-cancer#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17745-bone-cancer#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17745-bone-cancer#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17745-bone-cancer#prevention,https://my.clevelandclinic.org/health/diseases/17745-bone-cancer#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17745-bone-cancer#living-with
17881-gambling-disorder,7,https://my.clevelandclinic.org/health/diseases/17881-gambling-disorder,https://my.clevelandclinic.org/health/diseases/17881-gambling-disorder#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17881-gambling-disorder#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17881-gambling-disorder#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17881-gambling-disorder#prevention,https://my.clevelandclinic.org/health/diseases/17881-gambling-disorder#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17881-gambling-disorder#living-with
10370-juvenile-idiopathic-arthritis,7,https://my.clevelandclinic.org/health/diseases/10370-juvenile-idiopathic-arthritis,https://my.clevelandclinic.org/health/diseases/10370-juvenile-idiopathic-arthritis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/10370-juvenile-idiopathic-arthritis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/10370-juvenile-idiopathic-arthritis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/10370-juvenile-idiopathic-arthritis#prevention,https://my.clevelandclinic.org/health/diseases/10370-juvenile-idiopathic-arthritis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/10370-juvenile-idiopathic-arthritis#living-with
21577-exocrine-pancreatic-insufficiency-epi,7,https://my.clevelandclinic.org/health/diseases/21577-exocrine-pancreatic-insufficiency-epi,https://my.clevelandclinic.org/health/diseases/21577-exocrine-pancreatic-insufficiency-epi#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21577-exocrine-pancreatic-insufficiency-epi#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21577-exocrine-pancreatic-insufficiency-epi#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21577-exocrine-pancreatic-insufficiency-epi#prevention,https://my.clevelandclinic.org/health/diseases/21577-exocrine-pancreatic-insufficiency-epi#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21577-exocrine-pancreatic-insufficiency-epi#living-with
8316-polycystic-ovary-syndrome-pcos,7,https://my.clevelandclinic.org/health/diseases/8316-polycystic-ovary-syndrome-pcos,https://my.clevelandclinic.org/health/diseases/8316-polycystic-ovary-syndrome-pcos#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/8316-polycystic-ovary-syndrome-pcos#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/8316-polycystic-ovary-syndrome-pcos#management-and-treatment,https://my.clevelandclinic.org/health/diseases/8316-polycystic-ovary-syndrome-pcos#prevention,https://my.clevelandclinic.org/health/diseases/8316-polycystic-ovary-syndrome-pcos#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/8316-polycystic-ovary-syndrome-pcos#living-with
17978-angelman-syndrome,7,https://my.clevelandclinic.org/health/diseases/17978-angelman-syndrome,https://my.clevelandclinic.org/health/diseases/17978-angelman-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17978-angelman-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17978-angelman-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17978-angelman-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/17978-angelman-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17978-angelman-syndrome#living-with
22117-invasive-ductal-carcinoma-idc,7,https://my.clevelandclinic.org/health/diseases/22117-invasive-ductal-carcinoma-idc,https://my.clevelandclinic.org/health/diseases/22117-invasive-ductal-carcinoma-idc#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22117-invasive-ductal-carcinoma-idc#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22117-invasive-ductal-carcinoma-idc#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22117-invasive-ductal-carcinoma-idc#prevention,https://my.clevelandclinic.org/health/diseases/22117-invasive-ductal-carcinoma-idc#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22117-invasive-ductal-carcinoma-idc#living-with
10026-necrotizing-enterocolitis,7,https://my.clevelandclinic.org/health/diseases/10026-necrotizing-enterocolitis,https://my.clevelandclinic.org/health/diseases/10026-necrotizing-enterocolitis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/10026-necrotizing-enterocolitis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/10026-necrotizing-enterocolitis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/10026-necrotizing-enterocolitis#prevention,https://my.clevelandclinic.org/health/diseases/10026-necrotizing-enterocolitis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/10026-necrotizing-enterocolitis#living-with
4017-chickenpox,7,https://my.clevelandclinic.org/health/diseases/4017-chickenpox,https://my.clevelandclinic.org/health/diseases/4017-chickenpox#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/4017-chickenpox#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/4017-chickenpox#management-and-treatment,https://my.clevelandclinic.org/health/diseases/4017-chickenpox#prevention,https://my.clevelandclinic.org/health/diseases/4017-chickenpox#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/4017-chickenpox#living-with
21789-sick-sinus-syndrome,7,https://my.clevelandclinic.org/health/diseases/21789-sick-sinus-syndrome,https://my.clevelandclinic.org/health/diseases/21789-sick-sinus-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21789-sick-sinus-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21789-sick-sinus-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21789-sick-sinus-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/21789-sick-sinus-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21789-sick-sinus-syndrome#living-with
21766-mouth-ulcer,7,https://my.clevelandclinic.org/health/diseases/21766-mouth-ulcer,https://my.clevelandclinic.org/health/diseases/21766-mouth-ulcer#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21766-mouth-ulcer#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21766-mouth-ulcer#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21766-mouth-ulcer#prevention,https://my.clevelandclinic.org/health/diseases/21766-mouth-ulcer#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21766-mouth-ulcer#living-with
21870-retrograde-ejaculation,7,https://my.clevelandclinic.org/health/diseases/21870-retrograde-ejaculation,https://my.clevelandclinic.org/health/diseases/21870-retrograde-ejaculation#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21870-retrograde-ejaculation#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21870-retrograde-ejaculation#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21870-retrograde-ejaculation#prevention,https://my.clevelandclinic.org/health/diseases/21870-retrograde-ejaculation#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21870-retrograde-ejaculation#living-with
21847-stable-angina,7,https://my.clevelandclinic.org/health/diseases/21847-stable-angina,https://my.clevelandclinic.org/health/diseases/21847-stable-angina#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21847-stable-angina#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21847-stable-angina#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21847-stable-angina#prevention,https://my.clevelandclinic.org/health/diseases/21847-stable-angina#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21847-stable-angina#living-with
21131-atypical-depression,7,https://my.clevelandclinic.org/health/diseases/21131-atypical-depression,https://my.clevelandclinic.org/health/diseases/21131-atypical-depression#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21131-atypical-depression#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21131-atypical-depression#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21131-atypical-depression#prevention,https://my.clevelandclinic.org/health/diseases/21131-atypical-depression#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21131-atypical-depression#living-with
21924-blighted-ovum,7,https://my.clevelandclinic.org/health/diseases/21924-blighted-ovum,https://my.clevelandclinic.org/health/diseases/21924-blighted-ovum#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21924-blighted-ovum#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21924-blighted-ovum#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21924-blighted-ovum#prevention,https://my.clevelandclinic.org/health/diseases/21924-blighted-ovum#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21924-blighted-ovum#living-with
22131-migraine-aura,7,https://my.clevelandclinic.org/health/diseases/22131-migraine-aura,https://my.clevelandclinic.org/health/diseases/22131-migraine-aura#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22131-migraine-aura#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22131-migraine-aura#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22131-migraine-aura#prevention,https://my.clevelandclinic.org/health/diseases/22131-migraine-aura#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22131-migraine-aura#living-with
21964-haphephobia-fear-of-being-touched,7,https://my.clevelandclinic.org/health/diseases/21964-haphephobia-fear-of-being-touched,https://my.clevelandclinic.org/health/diseases/21964-haphephobia-fear-of-being-touched#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21964-haphephobia-fear-of-being-touched#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21964-haphephobia-fear-of-being-touched#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21964-haphephobia-fear-of-being-touched#prevention,https://my.clevelandclinic.org/health/diseases/21964-haphephobia-fear-of-being-touched#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21964-haphephobia-fear-of-being-touched#living-with
21595-arthritis-in-wrist,7,https://my.clevelandclinic.org/health/diseases/21595-arthritis-in-wrist,https://my.clevelandclinic.org/health/diseases/21595-arthritis-in-wrist#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21595-arthritis-in-wrist#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21595-arthritis-in-wrist#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21595-arthritis-in-wrist#prevention,https://my.clevelandclinic.org/health/diseases/21595-arthritis-in-wrist#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21595-arthritis-in-wrist#living-with
21620-anterior-knee-pain-pes-anserinus-bursitis,7,https://my.clevelandclinic.org/health/diseases/21620-anterior-knee-pain-pes-anserinus-bursitis,https://my.clevelandclinic.org/health/diseases/21620-anterior-knee-pain-pes-anserinus-bursitis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21620-anterior-knee-pain-pes-anserinus-bursitis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21620-anterior-knee-pain-pes-anserinus-bursitis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21620-anterior-knee-pain-pes-anserinus-bursitis#prevention,https://my.clevelandclinic.org/health/diseases/21620-anterior-knee-pain-pes-anserinus-bursitis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21620-anterior-knee-pain-pes-anserinus-bursitis#living-with
21915-torsades-de-pointes,7,https://my.clevelandclinic.org/health/diseases/21915-torsades-de-pointes,https://my.clevelandclinic.org/health/diseases/21915-torsades-de-pointes#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21915-torsades-de-pointes#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21915-torsades-de-pointes#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21915-torsades-de-pointes#prevention,https://my.clevelandclinic.org/health/diseases/21915-torsades-de-pointes#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21915-torsades-de-pointes#living-with
21749-reactive-arthritis,7,https://my.clevelandclinic.org/health/diseases/21749-reactive-arthritis,https://my.clevelandclinic.org/health/diseases/21749-reactive-arthritis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21749-reactive-arthritis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21749-reactive-arthritis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21749-reactive-arthritis#prevention,https://my.clevelandclinic.org/health/diseases/21749-reactive-arthritis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21749-reactive-arthritis#living-with
21700-premature-atrial-contractions,7,https://my.clevelandclinic.org/health/diseases/21700-premature-atrial-contractions,https://my.clevelandclinic.org/health/diseases/21700-premature-atrial-contractions#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21700-premature-atrial-contractions#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21700-premature-atrial-contractions#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21700-premature-atrial-contractions#prevention,https://my.clevelandclinic.org/health/diseases/21700-premature-atrial-contractions#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21700-premature-atrial-contractions#living-with
22116-invasive-lobular-carcinoma-ilc,7,https://my.clevelandclinic.org/health/diseases/22116-invasive-lobular-carcinoma-ilc,https://my.clevelandclinic.org/health/diseases/22116-invasive-lobular-carcinoma-ilc#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22116-invasive-lobular-carcinoma-ilc#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22116-invasive-lobular-carcinoma-ilc#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22116-invasive-lobular-carcinoma-ilc#prevention,https://my.clevelandclinic.org/health/diseases/22116-invasive-lobular-carcinoma-ilc#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22116-invasive-lobular-carcinoma-ilc#living-with
8103-pancreatitis,7,https://my.clevelandclinic.org/health/diseases/8103-pancreatitis,https://my.clevelandclinic.org/health/diseases/8103-pancreatitis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/8103-pancreatitis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/8103-pancreatitis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/8103-pancreatitis#prevention,https://my.clevelandclinic.org/health/diseases/8103-pancreatitis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/8103-pancreatitis#living-with
21685-antiphospholipid-syndrome,7,https://my.clevelandclinic.org/health/diseases/21685-antiphospholipid-syndrome,https://my.clevelandclinic.org/health/diseases/21685-antiphospholipid-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21685-antiphospholipid-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21685-antiphospholipid-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21685-antiphospholipid-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/21685-antiphospholipid-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21685-antiphospholipid-syndrome#living-with
21144-bronchiectasis,7,https://my.clevelandclinic.org/health/diseases/21144-bronchiectasis,https://my.clevelandclinic.org/health/diseases/21144-bronchiectasis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21144-bronchiectasis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21144-bronchiectasis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21144-bronchiectasis#prevention,https://my.clevelandclinic.org/health/diseases/21144-bronchiectasis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21144-bronchiectasis#living-with
12419-vitiligo,7,https://my.clevelandclinic.org/health/diseases/12419-vitiligo,https://my.clevelandclinic.org/health/diseases/12419-vitiligo#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/12419-vitiligo#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/12419-vitiligo#management-and-treatment,https://my.clevelandclinic.org/health/diseases/12419-vitiligo#prevention,https://my.clevelandclinic.org/health/diseases/12419-vitiligo#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/12419-vitiligo#living-with
21081-cyclic-neutropenia,7,https://my.clevelandclinic.org/health/diseases/21081-cyclic-neutropenia,https://my.clevelandclinic.org/health/diseases/21081-cyclic-neutropenia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21081-cyclic-neutropenia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21081-cyclic-neutropenia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21081-cyclic-neutropenia#prevention,https://my.clevelandclinic.org/health/diseases/21081-cyclic-neutropenia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21081-cyclic-neutropenia#living-with
21754-mouth-sore,7,https://my.clevelandclinic.org/health/diseases/21754-mouth-sore,https://my.clevelandclinic.org/health/diseases/21754-mouth-sore#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21754-mouth-sore#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21754-mouth-sore#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21754-mouth-sore#prevention,https://my.clevelandclinic.org/health/diseases/21754-mouth-sore#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21754-mouth-sore#living-with
21198-hepatitis-a,7,https://my.clevelandclinic.org/health/diseases/21198-hepatitis-a,https://my.clevelandclinic.org/health/diseases/21198-hepatitis-a#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21198-hepatitis-a#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21198-hepatitis-a#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21198-hepatitis-a#prevention,https://my.clevelandclinic.org/health/diseases/21198-hepatitis-a#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21198-hepatitis-a#living-with
21750-osteoarthritis-knee,7,https://my.clevelandclinic.org/health/diseases/21750-osteoarthritis-knee,https://my.clevelandclinic.org/health/diseases/21750-osteoarthritis-knee#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21750-osteoarthritis-knee#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21750-osteoarthritis-knee#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21750-osteoarthritis-knee#prevention,https://my.clevelandclinic.org/health/diseases/21750-osteoarthritis-knee#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21750-osteoarthritis-knee#living-with
22099-basophilia,7,https://my.clevelandclinic.org/health/diseases/22099-basophilia,https://my.clevelandclinic.org/health/diseases/22099-basophilia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22099-basophilia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22099-basophilia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22099-basophilia#prevention,https://my.clevelandclinic.org/health/diseases/22099-basophilia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22099-basophilia#living-with
