8316-polycystic-ovary-syndrome-pcos,abnormal hair growth,abnormal menstruation,acne,acne excess hair growth women,chest abdomen ( hirsutism,chronic low-grade inflammation,cysts,darkening,decreased frequency lack ovulation,elevated insulin level,heavy bleeding periods,high androgen levels,high glucose levels blood,increased male hormone,individuals insulin resistance elevated glucose diabetes,infertility,insulin resistance,insulin resistance lead diabetes,irregular menstrual cycles,irregular ovulation,irregular periods,known acanthosis nigricans,level inflammation body,low-grade inflammation,many women pcos small pockets fluid ovaries,mild pcos,obesity,ovaries releasing eggs,overweight obesity,patches dark skin,pcos,people pcos,skin tags little flaps extra skin,"small , fluid-filled sacs develop ovaries",trouble losing weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17978-angelman-syndrome,abnormal electroencephaologram,abnormalities ubea gene,arm leg tremors,balance problems,clumsiness,constipation,delayed development,flapping hands,flat back head,frequent drooling,gastrointestinal tract issues,gene inactive missing ( percent cases ),increased sensitivity heat,jerks,learning difficulties speech problems,lifting arms,light-colored eyes hair wide mouth widely spaced teeth crossed eyes ( strabismus ),much sleep feeding problems,reflux,restlessness ( hyperactive ),seizures,sleeping problems,small percentage cases,sticking tongue,stiff joints,structural changes ubea,swallowing difficulty curvature spine ( scoliosis ),unable sit upright,unusually pale skin,walking difficulties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22117-invasive-ductal-carcinoma-idc,"blood areas body , including liver , lungs , bone brain",breast cancer cases,breast cancer gene ( brca ),breast pain,cancer,certain risk factors,certain warning signs,dimpling,early stages,hereditary factors,late menopause,lump,mastalgia,menstrual periods,mutations breast cancer gene ( brca ),new lump breast,nipple pain,redness scaliness,skin irritation,spread lymph nodes,swelling breast,thickening breast skin nipple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026-necrotizing-enterocolitis,abdominal pain swelling,bloody stool,body fight infections,body temperature breathing,damage allows bacteria leave intestines enter abdominal cavity bloodstream,diarrhea,diminished blood flow damage intestinal tissue,green yellow vomit,immune system,intestinal infection,lethargy,nec,nec common problem,oxygen-carrying blood,premature babies,premature infants weaker immune systems,signs problem,weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4017-chickenpox,blotchy spots,feeling tired,fever,headache stomachache,many small blisters bumps,milky water scabs blisters,skin rash itchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21789-sick-sinus-syndrome,certain genetic mutations,dizziness,exhaustion,fainting,health problems,heart conditions,heart failure atrial tachyarrhythmias,heart palpitations,high blood pressure arrhythmia,high potassium low calcium levels,inflammation,injury breakdown,injury sa node,lightheadedness,metabolic problem,metabolic problems,muscular dystrophy cancer spread,rheumatic fever,risk factors,sarcoidosis,sarcoidosis diphtheria,shortness breath,tired,trouble breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21766-mouth-ulcer,accidentally biting cheek tongue,allergic reaction,certain bacteria,cold sores,development sores,hormonal changes period,increased soreness brushing teeth,lack sleep,minor tissue injury,one ulcer,pain,red around edges,stress,swelling around ulcer,"viral , bacterial fungal infections",vitamin deficiencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21870-retrograde-ejaculation,cloudy urine orgasm,fertility issues,little semen orgasm,problem circular muscle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21847-stable-angina,anemia,blood clot atherosclerosis,chest pain,diabetes,dizziness,exhaustion,heart failure,high blood pressure,high cholesterol,hyperthyroidism,nausea,pain,pressure indigestion,problems heart rhythm,problems heart valves,shortness breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21131-atypical-depression,difficulty falling,excessive sleepiness ( hypersomnia ),heavy feeling arms legs,impaired functioning neurotransmitters,increase appetite,increased sensitivity criticism rejection,intense reaction,long-term depression,loss appetite insomnia,mood people typical depression,mood reactivity,paralysis,significant weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21924-blighted-ovum,bleeding passing light gray tissue blood clots,breast tenderness,cells formed embryo,chromosomal genetic problems cell division,cramping,gestational sac missing embryo inside,increase bleeding,mild moderate cramping pelvic abdominal region,miscarriage,positive pregnancy test,sickness,signs pregnancy,spotting ( light bleeding,spotting several weeks miscarriage,vaginal bleeding,vaginal bleeding abdominal cramping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22131-migraine-aura,aura,electrical wave moves,sleep disturbances,stress,visual changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21964-haphephobia-fear-of-being-touched,distress,fainting,flushed skin feeling hot,hives,hyperventilating,increased heart rate heart palpitations,intense rushes distress,nausea,panic attacks,phobia,phobias mental health conditions,situational phobia,situational phobias,sudden,sweating,syncope,temper tantrums,touched lead panic attacks,tremors uncontrollable shaking,vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595-arthritis-in-wrist,body much uric acid blood,bone rubs bone,broken bone sprain,cartilage,cartilage ( connective tissue ) ends bones,destroys cartilage,even bones ligaments heal,excess acid,gout,immune system attacks damages healthy cells,injury,ligament injury,pain,pain stiffness,people psoriasis,psoriasis,"red , warm swollen joints",reduced range motion,scaly skin patches,small joints like wrists,stiffness,swelling,"tiny , painful crystals form joints",wrist hand weakness,wrist pain,wrists small joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21620-anterior-knee-pain-pes-anserinus-bursitis,abnormal knee alignment,bursitis,common pes anserinus bursitis,existing injury mcl ( medial collateral ligament ),knee arthritis,knee pain,overuse knee,overuse stress bursa,pain inside knee,pain knee joint,people pes anserinus bursitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21915-torsades-de-pointes,cardiac arrest,dizziness,excessive diarrhea vomiting,fainting,feeling heart pounding,lightheadedness,low levels calcium,nausea vomiting,palpitations,profound bradycardia,slow heart rate,sudden cardiac death,syncope,ventricular fibrillation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21749-reactive-arthritis,bacteria,bacteria virus hits healthy tissue mistake,bacterial infection,bacterial infections,burning feeling urinate,campylobacter,chlamydia,conjunctivitis,contagious,diarrhea abdominal pain,joint pain,people infections,poisoning chlamydia,salmonella,shigella,"sores palms , soles feet penis","stiffness swelling lower back , hips , knees , ankles , feet fingers",yersinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21700-premature-atrial-contractions,anxiety shortness breath,drop amount blood going heart,heartbeats,injury heart,palpitations,problem heart ’ structure ( like hypertrophic cardiomyopathy,stress,tiredness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22116-invasive-lobular-carcinoma-ilc,affected area,area swelling fullness breast,breast cancer,breast cancers,breast pain,cancer also spread lymph nodes,change appearance texture breast skin,"commonly spreads liver , bone , lungs brain",dimpling breast,genetic factors,ilc,inflammatory breast cancer,lobules ducts breast spread surrounding breast tissue,lump,mutations,mutations dna,obvious lump bump breast,organs areas throughout body,thickening breast skin,types breast cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8103-pancreatitis,abdominal injury,"constant , sometimes disabling pain",diabetes,fever,foamy diarrhea,gallstones,high blood sugar,high triglyceride levels,infections,insulin-producing pancreas cells,moderate severe upper abdominal pain,nausea,pain,steatorrhea,swollen,tender abdomen,unexplained weight loss,vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21685-antiphospholipid-syndrome,abdominal pain,anemia,antibodies attack phospholipid-binding proteins cells,blood clot,blood clot depend blood clot body,blood clots,blood clots deadly,body ’ immune system,chest pain,"discomfort arms , back , neck and/or jaw",frequent headaches,genetic mutations environmental factors,heart valve abnormalities,lace-like reddish purplish pattern skin ( livedo reticularis,low blood platelet levels,pain,redness swelling arm leg,repeated ( recurrent ) miscarriages,shortage red blood cells,shortness breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21144-bronchiectasis,allergy particular type fungus conditions,alpha- antitrypsin deficiency immune system conditions,aspirating ( breathing ),breathing clubbing nails loss,chest pain,chills,coughing,cystic fibrosis,difficult fight infections,fatigue,fevers,genetic condition,increased shortness breath,long-lasting lung infections,lot mucus coughing mucus blood ( known hemoptysis ),lungs allergic bronchopulmonary aspergillosis,night sweats,obstructed airways ( airways blocked,primary ciliary dyskinesia,reduced ability breathe,rheumatoid arthritis,stomach acid,tightness harder breathe,weight flare-ups,wheezing,whistling noises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12419-vitiligo,abnormalities retinas ( inner layer eye,alopecia areata,antibodies destroy melanocytes,anxiety depression issues,certain factors,defect melanocytes,depigmentation,diabetes,embarrassed anxious skin,eyes and/or mucous membranes mouth nose,genetic factors,hypothyroidism,inflammation retina iris,itchy skin,lack melanocytes,low self-esteem,macules,neurogenic factors,painful sunburns,pernicious anemia,substance toxic melanocytes,variety problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
